horse_id,sire,dam_sire
2023105347,リアルスティール,American Pharoah
2023105277,シスキン,ハービンジャー
2023103400,マインドユアビスケッツ,ステイゴールド
2023105558,シスキン,ヴィクトワールピサ
2023109031,セイウンコウセイ,オルフェーヴル
2023100772,ヘンリーバローズ,キングカメハメハ
2023100986,マテラスカイ,アグネスタキオン
2023105359,ダイワメジャー,ヘニーヒューズ
2023105738,モズアスコット,アグネスデジタル
2023100344,ジャスタウェイ,カネヒキリ
2023100672,ミッキーアイル,ゼンノロブロイ
2023104705,サンダースノー,スペシャルウィーク
2022110064,Nyquist,Tiznow
2022102799,フォーウィールドライブ,Galileo
2022106194,ミスターメロディ,ステイゴールド
2022101204,リオンディーズ,ストロングリターン
2022102103,シニスターミニスター,ワイルドラッシュ
2022102967,タワーオブロンドン,ロックオブジブラルタル
2022110124,Mitole,Mr. Greeley
2022105228,ナダル,アグネスタキオン
2022110019,Too Darn Hot,Dawn Approach
2022107411,タワーオブロンドン,ゴールドヘイロー
2022104131,リアルスティール,Mineshaft
2022100595,フリオーソ,グラスワンダー
2022102905,シニスターミニスター,Seattle Fitz
2022100997,ホッコータルマエ,キングヘイロー
2022101234,ルヴァンスレーヴ,フリオーソ
2022106614,マジェスティックウォリアー,Ghostzapper
2022102567,ノヴェリスト,ダイワメジャー
2022101769,エスケンデレヤ,エスポワールシチー
2022105547,サートゥルナーリア,Tapit
2022105487,ニューイヤーズデイ,ハーツクライ
2022107059,ミッキーアイル,ヴィクトワールピサ
2022104404,サンダースノー,ディープインパクト
2022102728,ロゴタイプ,ゴールドアリュール
2022104381,ディーマジェスティ,Medicean
2022102356,フォーウィールドライブ,ネオユニヴァース
2022101090,リアルスティール,クロフネ
2022104198,リオンディーズ,ブライアンズタイムBrian'
2022101412,グレーターロンドン,Holy Roman Emperor
2022105126,エピファネイア,ハーツクライ
2022101487,ブリックスアンドモルタル,エイシンフラッシュ
2022105561,ブリックスアンドモルタル,Galileo
2022100662,ロードカナロア,Medaglia d'Oro
2022106845,ゴールドアクター,ハービンジャー
2022105327,スワーヴリチャード,Indian Charlie
2022103631,サトノダイヤモンド,フレンチデピュティ
2022104641,エピファネイア,Ruler of The World
2022106590,デクラレーションオブウォー,ブラックタイド
2022107313,リオンディーズ,ハーツクライ
2022105264,ブリックスアンドモルタル,ディープインパクト
2022104170,キズナ,クロフネ
2023102583,ルヴァンスレーヴ,サウスヴィグラス
2023104151,ホッコータルマエ,ヘニーヒューズ
2023102592,モーリス,Tale of the Cat
2023105786,ルヴァンスレーヴ,クロフネ
2023105351,クリソベリル,War Front
2023105032,ナダル,スズカマンボ
2023105555,ルヴァンスレーヴ,ハーツクライ
2023105220,ナダル,ハーツクライ
2023105329,ナダル,ディープインパクト
2023103477,ジャスタウェイ,キングカメハメハ
2023104275,エスポワールシチー,ヘニーヒューズ
2023100707,ベストウォーリア,ハーツクライ
2023106950,ルヴァンスレーヴ,ルーラーシップ
2022105477,リオンディーズ,ディープインパクト
2022106213,スクリーンヒーロー,ステイゴールド
2022102722,ドゥラメンテ,ハービンジャー
2022104399,マクフィ,チチカステナンゴ
2022100263,アルアイン,シンボリクリスエス
2022105531,ダイワメジャー,War Front
2022105330,トーセンラー,ワークフォース
2022103147,ハービンジャー,アドマイヤムーン
2022106781,ダノンバラード,Southern Image
2022100715,フィエールマン,ゼンノロブロイ
2022105366,ナダル,デュランダル
2022104785,ハービンジャー,ディープインパクト
2022105581,エピファネイア,After Market
2022104905,オルフェーヴル,Malibu Moon
2021105260,ロードカナロア,Le Havre
2022104920,ビッグアーサー,フジキセキ
2021102717,ハービンジャー,ディープインパクト
2021103535,サトノクラウン,ファスリエフ
2020103975,タリスマニック,アグネスデジタル
2020101920,ディーマジェスティ,トウカイテイオー
2022103154,ビッグアーサー,クロフネ
2022101265,スクリーンヒーロー,キンシャサノキセキ
2022105801,サートゥルナーリア,ディープインパクト
2022104207,ドゥラメンテ,Frankel
2022106813,ダノンバラード,タイキシャトル
2020100621,ダノンバラード,ロージズインメイ
2022101969,ノヴェリスト,サムライハート
2022104605,ニューイヤーズデイ,キングカメハメハ
2022103644,モーニン,シンボリクリスエス
2022101465,ルヴァンスレーヴ,エンパイアメーカー
2022104897,レイデオロ,Union Rags
2020100948,ルーラーシップ,マンハッタンカフェ
2022106785,マインドユアビスケッツ,ゴールドアリュール
2019103204,アポロキングダム,ジェニュイン
2022103515,マインドユアビスケッツ,アイルハヴアナザーI'
2020103378,ルーラーシップ,アグネスタキオン
2019106972,フリオーソ,ストリートセンス
2022106673,ディスクリートキャット,サウスヴィグラス
2021107168,ブリックスアンドモルタル,ワイルドラッシュ
2022105253,マインドユアビスケッツ,ディープインパクト
2021105438,ドレフォン,ハーツクライ
2021106211,キタサンブラック,ロージズインメイ
2019105877,ディーマジェスティ,フォーティナイナー
2021105285,ビーチパトロール,ダンスインザダーク
2020106694,ゴールドシップ,アドマイヤムーン
2021102577,メイショウサムソン,マンハッタンカフェ
2021103033,バゴ,ステイゴールド
2020104259,ハービンジャー,キングカメハメハ
2020105733,ヤマカツエース,ダンスインザダーク
2021106472,ビーチパトロール,ブラックタイド
2020103154,モーリス,フジキセキ
2020110151,Union Rags,Pure Prize
2020103554,シルバーステート,キングカメハメハ
2022104960,シュヴァルグラン,ロードカナロア
2020104194,ダイワメジャー,Fastnet Rock
2021105202,ダイワメジャー,Rail Link
2021105039,レッドファルクス,ステイゴールド
2020103280,ロードカナロア,ハーツクライ
2019105760,マツリダゴッホ,フレンチデピュティ
2021103092,ミッキーアイル,ヨハネスブルグ
2020101517,ビッグアーサー,グラスワンダー
2022100490,モズアスコット,アグネスデジタル
2019103692,ザファクター,タイキシャトル
2019102747,ビッグアーサー,マリエンバード
2021100157,ロードカナロア,ディープインパクト
2021104416,カリフォルニアクローム,ディープインパクト
2021106192,ビーチパトロール,フレンチデピュティ
2021104411,マインドユアビスケッツ,ハービンジャー
2020104215,パイロ,クロフネ
2021106689,ドレフォン,ハーツクライ
2021103502,ドレフォン,ハーツクライ
2017103184,フリオーソ,アドマイヤジャパン
2018110086,Tapit,Unbridled's Song
2019106573,サトノアラジン,Medicean
2021105262,クリエイター,ゼンノロブロイ
2020101258,ダノンバラード,アイルハヴアナザーI'
2020103414,ハーツクライ,Mineshaft
2021105276,ニューイヤーズデイ,ルーラーシップ
2021105971,ドレフォン,フジキセキ
2022103228,マインドユアビスケッツ,キングカメハメハ
2022102952,リアルスティール,キングカメハメハ
2022104317,マインドユアビスケッツ,ディープインパクト
2022102035,ルヴァンスレーヴ,スマートファルコン
2022102292,レイデオロ,ディープインパクト
2022105571,ミスターメロディ,マンハッタンカフェ
2022105568,レイデオロ,マンハッタンカフェ
2022105025,レイデオロ,ゼンノロブロイ
2022102653,リアルスティール,クロフネ
2022105148,ルーラーシップ,ディープインパクト
2022105392,ブリックスアンドモルタル,Frankel
2022105986,サートゥルナーリア,ステイゴールド
2022103993,マクフィ,サクラバクシンオー
2022106219,サンダースノー,ステイゴールド
2022101402,ロードカナロア,マンハッタンカフェ
2022104316,ビッグアーサー,ディープインパクト
2022100614,オルフェーヴル,クロフネ
2022110031,Dark Angel,Invincible Spirit
2022105339,ブリックスアンドモルタル,Refuse to Bend
2022100656,ロードカナロア,ハーツクライ
2022100280,ビーチパトロール,ネオユニヴァース
2022103488,マインドユアビスケッツ,マツリダゴッホ
