date,race_id,horse_num,horse_name,kind,pos,final_odds,stake,payout
2026-07-11,202610020511,6,ペイシャヴァルツー,◎単勝,10,65.0,100,0
2026-07-11,202602010911,9,ドゥカート,穴単勝,12,61.4,100,0
2026-07-11,202603020512,2,ブレゲアン,◎単勝,6,19.2,100,0
2026-07-11,202603020512,11,アジアントレジャー,穴単勝,14,39.0,100,0
2026-07-11,202610020512,1,タイガーロード,◎単勝,8,23.9,100,0
2026-07-11,202610020512,3,ペルフェツィオーネ,穴単勝,9,101.9,100,0
2026-07-11,202602010912,3,タイセイブルーム,穴単勝,5,9.1,100,0
2026-07-11,202602010912,7,テーオーナタリー,穴単勝,6,12.5,100,0
2026-07-12,202602011002,1-9,エアヴァイブス×フィエスタ,馬連,0,40.5,200,0
2026-07-12,202603020604,2-7,エコロテラ×サクセスボーイ,馬連,0,40.9,200,0
2026-07-12,202603020605,5,ローグアン,◎単勝,12,46.1,1000,0
2026-07-12,202610020605,1-2,サイモンレガシー×シュガーハウス,馬連,0,47.7,200,0
2026-07-12,202602011006,2-5,ドラリズム×サトノフレイ,馬連,0,17.9,200,0
2026-07-12,202610020606,2-8,アトランタ×ブラックブレット,馬連,0,43.9,200,0
2026-07-12,202602011007,5,マリブサーフ,◎単勝,6,6.0,600,0
2026-07-12,202602011007,5-7,マリブサーフ×アリストクラシア,馬連,0,32.9,200,0
2026-07-12,202603020607,10-14,ベルオーシャン×ノーブルクロンヌ,馬連,0,43.2,200,0
2026-07-12,202603020607,4-14,ベルオーシャン×シャインフォーミー,馬連,0,33.6,200,0
2026-07-12,202602011008,8-9,ダイシンレアレア×ミスターエメラルド,馬連,0,27.0,200,0
2026-07-12,202602011008,4-9,ダイシンレアレア×ディースプレマシー,馬連,0,55.2,200,0
2026-07-12,202603020608,7-12,デンプシー×ビッグフラワー,馬連,0,25.4,200,0
2026-07-12,202610020608,2-3,ペイシャシス×コンバットペスカ,馬連,0,27.3,200,0
2026-07-12,202602011009,14,ラブリーリディア,◎単勝,11,19.6,1000,0
2026-07-12,202602011009,8-14,ラブリーリディア×サタデーサンライズ,馬連,0,50.6,200,0
2026-07-12,202610020609,4-8,ショウナンバンライ×エンマ,馬連,0,39.1,200,0
2026-07-12,202610020609,7-8,ショウナンバンライ×トモジャザーン,馬連,0,15.9,200,0
2026-07-12,202603020609,3,サフランルージュ,◎単勝,6,21.8,1000,0
2026-07-12,202603020609,3-10,サフランルージュ×サルワールカミーズ,馬連,0,47.6,200,0
2026-07-12,202603020609,3-7,サフランルージュ×ブルスカメンテ,馬連,0,72.8,200,0
2026-07-12,202610020610,5-8,フォーチュンライド×コリカンチャ,馬連,0,27.4,200,0
2026-07-12,202602011010,1,カネコメブライト,◎単勝,6,7.9,800,0
2026-07-12,202602011010,1-9,カネコメブライト×マメタンク,馬連,0,11.4,200,0
2026-07-12,202610020611,3-9,シュラザック×ジンセイ,馬連,0,28.6,200,0
2026-07-12,202603020611,10-15,ヤマニンブークリエ×センツブラッド,馬連,0,58.3,200,0
2026-07-12,202602011012,1-7,ハッピーラッキー×ナンナンプー,馬連,0,25.0,200,0
2026-07-18,202603020710,15,モリノアミーゴ,穴単勝,1,18.3,300,5490
2026-07-19,202603020804,13,アルティソナンテ,◎単勝,5,21.8,600,0
2026-07-19,202602011204,10,シークレットシティ,◎単勝,10,8.1,800,0
2026-07-19,202610020805,1,カローナ,◎単勝,6,48.9,1000,0
2026-07-19,202610020805,4,レアアース,穴単勝,8,29.8,300,0
2026-07-19,202603020808,7,リスレジャンデール,◎単勝,5,8.7,600,0
2026-07-19,202610020807,14,レオナルドスター,◎単勝,10,36.3,1000,0
2026-07-19,202602011208,5,グレイトソン,◎単勝,3,6.8,800,0
2026-07-19,202603020811,15,ショウナンアビアス,◎単勝,14,15.5,800,0
2026-08-02,202604020406,15,ロードソルスティス,◎単勝,14,17.2,800,0
2026-08-08,202607020502,1,ダイメイアゲイン,◎単勝,7,87.8,1000,0
2026-08-08,202607020502,1-3,ダイメイアゲイン×コンテスタード,馬連,0,93.2,600,0
2026-08-08,202607020507,3-5,シンビリーブ×ユウトザユウト,馬連,1,74.4,100,7440
